onset	duration	sample	type	value
0	0.002	1	New Segment	n/a
287.436	0.002	143719	Stimulus	S 52
300.434	0.002	150218	Stimulus	S 55
300.454	0.002	150228	Stimulus	S 58
300.506	0.002	150254	Stimulus	S 30
302.242	0.002	151122	Stimulus	S 37
303.344	0.002	151673	Stimulus	S 50
304.876	0.002	152439	Stimulus	S 30
306.61	0.002	153306	Stimulus	S 39
307.712	0.002	153857	Stimulus	S 50
309.236	0.002	154619	Stimulus	S 25
310.974	0.002	155488	Stimulus	S 33
312.076	0.002	156039	Stimulus	S 50
313.602	0.002	156802	Stimulus	S 25
315.34	0.002	157671	Stimulus	S 33
316.442	0.002	158222	Stimulus	S 50
317.968	0.002	158985	Stimulus	S 25
319.704	0.002	159853	Stimulus	S 35
320.806	0.002	160404	Stimulus	S 50
322.344	0.002	161173	Stimulus	S 25
324.088	0.002	162045	Stimulus	S 35
325.19	0.002	162596	Stimulus	S 50
326.714	0.002	163358	Stimulus	S 30
328.45	0.002	164226	Stimulus	S 39
329.552	0.002	164777	Stimulus	S 50
331.078	0.002	165540	Stimulus	S 30
332.816	0.002	166409	Stimulus	S 43
333.918	0.002	166960	Stimulus	S 50
335.442	0.002	167722	Stimulus	S 25
337.18	0.002	168591	Stimulus	S 35
338.282	0.002	169142	Stimulus	S 50
339.806	0.002	169904	Stimulus	S 30
341.542	0.002	170772	Stimulus	S 39
342.644	0.002	171323	Stimulus	S 50
344.17	0.002	172086	Stimulus	S 25
345.908	0.002	172955	Stimulus	S 35
347.01	0.002	173506	Stimulus	S 50
348.534	0.002	174268	Stimulus	S 30
350.27	0.002	175136	Stimulus	S 39
351.372	0.002	175687	Stimulus	S 50
352.898	0.002	176450	Stimulus	S 30
354.634	0.002	177318	Stimulus	S 39
355.736	0.002	177869	Stimulus	S 50
357.262	0.002	178632	Stimulus	S 30
358.996	0.002	179499	Stimulus	S 39
360.098	0.002	180050	Stimulus	S 50
361.624	0.002	180813	Stimulus	S 25
363.36	0.002	181681	Stimulus	S 45
364.462	0.002	182232	Stimulus	S 50
365.986	0.002	182994	Stimulus	S 25
367.72	0.002	183861	Stimulus	S 47
368.822	0.002	184412	Stimulus	S 50
370.348	0.002	185175	Stimulus	S 30
372.084	0.002	186043	Stimulus	S 41
373.186	0.002	186594	Stimulus	S 50
374.71	0.002	187356	Stimulus	S 30
376.448	0.002	188225	Stimulus	S 37
377.55	0.002	188776	Stimulus	S 50
379.076	0.002	189539	Stimulus	S 25
380.81	0.002	190406	Stimulus	S 45
381.912	0.002	190957	Stimulus	S 50
383.438	0.002	191720	Stimulus	S 30
385.174	0.002	192588	Stimulus	S 38
385.568	0.002	192785	Stimulus	S 50
385.59	0.002	192796	Stimulus	S 50
387.784	0.002	193893	Stimulus	S 30
389.518	0.002	194760	Stimulus	S 39
390.62	0.002	195311	Stimulus	S 50
392.146	0.002	196074	Stimulus	S 30
393.882	0.002	196942	Stimulus	S 43
394.984	0.002	197493	Stimulus	S 50
396.512	0.002	198257	Stimulus	S 30
398.256	0.002	199129	Stimulus	S 37
399.358	0.002	199680	Stimulus	S 50
400.884	0.002	200443	Stimulus	S 30
402.622	0.002	201312	Stimulus	S 40
403.312	0.002	201657	Stimulus	S 50
403.332	0.002	201667	Stimulus	S 50
405.228	0.002	202615	Stimulus	S 30
406.966	0.002	203484	Stimulus	S 37
408.068	0.002	204035	Stimulus	S 50
409.594	0.002	204798	Stimulus	S 25
411.328	0.002	205665	Stimulus	S 47
412.43	0.002	206216	Stimulus	S 50
413.956	0.002	206979	Stimulus	S 25
415.692	0.002	207847	Stimulus	S 35
416.794	0.002	208398	Stimulus	S 50
418.322	0.002	209162	Stimulus	S 25
420.058	0.002	210030	Stimulus	S 35
421.16	0.002	210581	Stimulus	S 50
422.686	0.002	211344	Stimulus	S 30
424.42	0.002	212211	Stimulus	S 37
425.522	0.002	212762	Stimulus	S 50
427.048	0.002	213525	Stimulus	S 25
428.782	0.002	214392	Stimulus	S 45
429.884	0.002	214943	Stimulus	S 50
431.41	0.002	215706	Stimulus	S 30
433.146	0.002	216574	Stimulus	S 37
434.246	0.002	217124	Stimulus	S 50
435.774	0.002	217888	Stimulus	S 25
437.51	0.002	218756	Stimulus	S 33
438.612	0.002	219307	Stimulus	S 50
440.136	0.002	220069	Stimulus	S 25
441.874	0.002	220938	Stimulus	S 33
442.976	0.002	221489	Stimulus	S 50
444.502	0.002	222252	Stimulus	S 30
446.24	0.002	223121	Stimulus	S 41
447.342	0.002	223672	Stimulus	S 50
448.868	0.002	224435	Stimulus	S 25
450.606	0.002	225304	Stimulus	S 33
451.708	0.002	225855	Stimulus	S 50
453.232	0.002	226617	Stimulus	S 30
454.968	0.002	227485	Stimulus	S 41
456.07	0.002	228036	Stimulus	S 50
457.596	0.002	228799	Stimulus	S 25
459.332	0.002	229667	Stimulus	S 33
460.434	0.002	230218	Stimulus	S 50
461.958	0.002	230980	Stimulus	S 25
463.698	0.002	231850	Stimulus	S 36
464.286	0.002	232144	Stimulus	S 50
464.306	0.002	232154	Stimulus	S 50
466.308	0.002	233155	Stimulus	S 25
468.044	0.002	234023	Stimulus	S 35
469.146	0.002	234574	Stimulus	S 50
470.67	0.002	235336	Stimulus	S 25
472.412	0.002	236207	Stimulus	S 34
473.006	0.002	236504	Stimulus	S 50
473.026	0.002	236514	Stimulus	S 50
484.774	0.002	242388	Stimulus	S 54
484.794	0.002	242398	Stimulus	S 56
484.816	0.002	242409	Stimulus	S 59
484.87	0.002	242436	Stimulus	S  8
486.446	0.002	243224	Stimulus	S 20
487.07	0.002	243536	Stimulus	S 50
489.052	0.002	244527	Stimulus	S  8
490.63	0.002	245316	Stimulus	S 21
491.486	0.002	245744	Stimulus	S 50
493.238	0.002	246620	Stimulus	S  3
494.816	0.002	247409	Stimulus	S 17
495.326	0.002	247664	Stimulus	S 50
497.424	0.002	248713	Stimulus	S  3
499	0.002	249501	Stimulus	S 17
499.438	0.002	249720	Stimulus	S 50
501.608	0.002	250805	Stimulus	S  3
503.186	0.002	251594	Stimulus	S 18
503.774	0.002	251888	Stimulus	S 50
505.8	0.002	252901	Stimulus	S  8
507.374	0.002	253688	Stimulus	S 22
507.934	0.002	253968	Stimulus	S 50
509.982	0.002	254992	Stimulus	S  8
511.558	0.002	255780	Stimulus	S 20
512.046	0.002	256024	Stimulus	S 50
514.166	0.002	257084	Stimulus	S  3
515.742	0.002	257872	Stimulus	S 18
516.318	0.002	258160	Stimulus	S 50
518.348	0.002	259175	Stimulus	S  3
519.926	0.002	259964	Stimulus	S 17
520.606	0.002	260304	Stimulus	S 50
522.532	0.002	261267	Stimulus	S  8
524.108	0.002	262055	Stimulus	S 19
524.782	0.002	262392	Stimulus	S 50
526.716	0.002	263359	Stimulus	S  8
528.292	0.002	264147	Stimulus	S 19
528.878	0.002	264440	Stimulus	S 50
530.9	0.002	265451	Stimulus	S  8
532.474	0.002	266238	Stimulus	S 20
533.038	0.002	266520	Stimulus	S 50
535.082	0.002	267542	Stimulus	S  3
536.658	0.002	268330	Stimulus	S 18
537.358	0.002	268680	Stimulus	S 50
539.266	0.002	269634	Stimulus	S  8
540.842	0.002	270422	Stimulus	S 19
541.326	0.002	270664	Stimulus	S 50
543.448	0.002	271725	Stimulus	S  8
545.022	0.002	272512	Stimulus	S 20
545.534	0.002	272768	Stimulus	S 50
547.63	0.002	273816	Stimulus	S  8
549.204	0.002	274603	Stimulus	S 19
549.758	0.002	274880	Stimulus	S 50
551.812	0.002	275907	Stimulus	S  8
553.388	0.002	276695	Stimulus	S 22
553.918	0.002	276960	Stimulus	S 50
555.994	0.002	277998	Stimulus	S  3
557.57	0.002	278786	Stimulus	S 24
558.174	0.002	279088	Stimulus	S 50
560.176	0.002	280089	Stimulus	S  3
561.752	0.002	280877	Stimulus	S 23
562.51	0.002	281256	Stimulus	S 50
564.36	0.002	282181	Stimulus	S  3
565.936	0.002	282969	Stimulus	S 17
566.798	0.002	283400	Stimulus	S 50
576.8	0.002	288401	Stimulus	S 53
576.822	0.002	288412	Stimulus	S 56
576.842	0.002	288422	Stimulus	S 60
576.878	0.002	288440	Stimulus	S  5
578.454	0.002	289228	Stimulus	S 21
579.26	0.002	289631	Stimulus	S 51
582.892	0.002	291447	Stimulus	S  5
584.468	0.002	292235	Stimulus	S 19
585.5	0.002	292751	Stimulus	S 50
587.074	0.002	293538	Stimulus	S  2
588.65	0.002	294326	Stimulus	S 23
589.74	0.002	294871	Stimulus	S 50
591.256	0.002	295629	Stimulus	S  2
592.832	0.002	296417	Stimulus	S 17
593.436	0.002	296719	Stimulus	S 50
595.44	0.002	297721	Stimulus	S  5
597.014	0.002	298508	Stimulus	S 19
597.564	0.002	298783	Stimulus	S 50
599.62	0.002	299811	Stimulus	S  2
601.196	0.002	300599	Stimulus	S 23
601.724	0.002	300863	Stimulus	S 50
603.802	0.002	301902	Stimulus	S  2
605.38	0.002	302691	Stimulus	S 18
605.964	0.002	302983	Stimulus	S 50
607.988	0.002	303995	Stimulus	S  5
609.564	0.002	304783	Stimulus	S 20
610.428	0.002	305215	Stimulus	S 50
612.17	0.002	306086	Stimulus	S  5
613.748	0.002	306875	Stimulus	S 21
